,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³)
0,2020-01-01 00:00:00,129.15,190.23,44.72,11.26,85.47,14.84,12.32,1.78,17.89
1,2020-01-02 00:00:00,59.62,101.89,14.05,12.4,36.34,14.32,12.21,0.67,17.9
2,2020-01-03 00:00:00,70.38,101.91,16.6,9.75,37.67,13.72,12.23,0.7,17.86
3,2020-01-04 00:00:00,95.4,130.76,22.57,7.66,45.27,15.4,12.02,0.92,17.99
4,2020-01-05 00:00:00,96.59,136.95,40.86,9.45,77.2,15.54,12.24,1.27,17.92
5,2020-01-06 00:00:00,95.32,161.58,16.84,10.2,38.58,14.05,11.76,0.85,18.72
6,2020-01-07 00:00:00,156.97,270.27,57.48,12.45,107.71,16.4,12.59,1.63,19.71
7,2020-01-08 00:00:00,150.04,222.14,67.34,12.54,123.99,16.3,12.57,1.69,17.92
8,2020-01-09 00:00:00,152.19,206.74,36.13,10.6,70.67,17.94,12.41,1.68,18.02
9,2020-01-10 00:00:00,159.03,226.79,55.87,12.19,104.77,18.5,12.84,1.82,18.31
10,2020-01-11 00:00:00,165.77,242.83,72.41,13.24,133.04,19.16,12.95,1.83,18.02
11,2020-01-12 00:00:00,143.39,221.56,85.78,15.34,157.3,17.89,13.17,1.61,18.03
12,2020-01-13 00:00:00,150.01,235.37,75.48,13.88,138.79,16.48,13.08,1.65,18.19
13,2020-01-14 00:00:00,200.08,285.56,78.4,14.47,144.2,17.82,13.2,1.85,18.18
14,2020-01-15 00:00:00,364.31,473.39,90.7,14.91,164.88,24.64,13.41,3.71,18.43
15,2020-01-16 00:00:00,161.36,228.34,68.17,11.18,123.86,26.98,13.42,2.04,18.11
16,2020-01-17 00:00:00,127.17,205.94,72.99,14.17,135.01,21.12,13.77,1.38,18.21
17,2020-01-18 00:00:00,149.46,240.52,77.16,16.08,143.92,20.35,14.16,1.5,19.73
18,2020-01-19 00:00:00,117.51,187.47,69.65,13.41,128.71,22.11,13.75,1.3,18.24
19,2020-01-20 00:00:00,77.97,119.61,6.46,8.79,20.01,17.46,12.47,0.58,21.06
20,2020-01-21 00:00:00,125.77,190.71,18.52,12.72,44.04,16.08,12.66,0.97,21.12
21,2020-01-22 00:00:00,133.65,212.39,51.5,15.65,101.3,17.02,13.36,1.37,20.48
22,2020-01-23 00:00:00,133.41,210.61,50.34,18.12,102.06,16.79,13.07,1.3,18.19
23,2020-01-24 00:00:00,183.93,268.8,46.06,17.62,94.51,16.16,13.87,1.78,19.03
24,2020-01-25 00:00:00,169.56,278.45,68.91,16.66,130.99,15.63,13.21,1.75,17.92
25,2020-01-26 00:00:00,156.12,236.74,59.33,12.76,111.08,16.1,13.13,1.68,18.14
26,2020-01-27 00:00:00,140.32,241.2,78.13,17.9,147.44,16.62,13.85,1.57,20.72
27,2020-01-28 00:00:00,,314.45,78.37,17.74,147.72,18.34,13.67,1.92,18.13
28,2020-01-29 00:00:00,108.29,344.5,80.08,21.92,154.96,20.15,13.97,1.94,20.11
29,2020-01-30 00:00:00,146.9,234.29,51.88,15.98,102.31,21.6,13.65,1.58,18.99
30,2020-01-31 00:00:00,77.58,111.31,10.94,8.84,27.41,17.78,12.85,0.64,18.76
31,2020-02-01 00:00:00,122.79,182.61,28.08,10.1,56.9,18.14,13.23,1.2,18.75
32,2020-02-02 00:00:00,102.43,171.33,47.41,15.35,94.28,18.28,13.47,1.17,19.12
33,2020-02-03 00:00:00,122.84,199.67,63.4,22.14,127.81,15.91,13.95,1.09,23.13
34,2020-02-04 00:00:00,139.59,223.67,79.59,23.7,156.04,17.59,15.05,1.32,24.79
35,2020-02-05 00:00:00,155.3,255.44,80.15,25.01,158.38,19.22,14.45,1.61,22.24
36,2020-02-06 00:00:00,151.26,242.73,52.67,18.75,106.55,19.68,15.2,1.46,27.03
37,2020-02-07 00:00:00,137.52,231.74,43.86,20.4,93.84,18.26,13.11,1.36,18.58
38,2020-02-08 00:00:00,135.43,235.39,54.75,20.09,111.39,17.52,13.08,1.46,18.43
39,2020-02-09 00:00:00,107.4,189.6,35.33,17.77,77.05,17.86,12.59,1.12,18.12
40,2020-02-10 00:00:00,103.55,219.7,54.19,19.64,110.0,18.34,13.08,1.01,18.37
41,2020-02-11 00:00:00,109.36,215.04,80.0,23.25,156.22,18.44,13.55,1.19,18.35
42,2020-02-12 00:00:00,119.26,223.12,84.0,24.45,164.18,19.28,13.79,1.18,18.35
43,2020-02-13 00:00:00,134.16,254.16,92.99,31.2,182.09,21.68,15.3,1.28,18.58
44,2020-02-14 00:00:00,141.39,264.43,57.54,27.36,123.77,23.59,13.57,1.21,19.36
45,2020-02-15 00:00:00,172.16,291.14,47.15,32.08,111.78,23.67,13.49,1.33,18.99
46,2020-02-16 00:00:00,208.49,298.99,41.9,24.29,94.8,24.22,13.49,1.61,18.58
47,2020-02-17 00:00:00,202.16,298.16,61.06,24.5,126.48,24.93,13.71,1.78,18.61
