Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,170.95,268.27,56.79,14.43,49.41,3.06,22.64,2.45,18.76,0.07,NA,NA,NA,0.11,0.40,16.95,78.15,0.87,119.99,0.02,2.30,299.99,875.16,NA
2021-01-02 00:00:00,140.60,229.80,68.76,16.29,59.24,2.40,22.86,2.04,18.79,0.05,NA,NA,NA,0.13,0.50,17.03,76.76,0.81,135.87,0.10,9.16,264.99,876.90,NA
2021-01-03 00:00:00,159.47,246.77,65.25,16.10,56.52,3.05,22.81,2.09,19.05,0.06,NA,NA,NA,0.14,0.51,17.37,76.33,0.86,118.97,0.04,3.88,268.60,894.85,NA
2021-01-04 00:00:00,141.07,251.23,65.46,16.74,57.00,2.83,22.94,1.93,19.21,0.05,NA,NA,NA,0.13,0.51,17.63,74.45,0.85,120.85,0.03,3.02,287.97,896.21,NA
2021-01-05 00:00:00,146.96,255.57,69.58,17.24,60.30,3.36,23.14,2.09,18.99,0.06,NA,NA,NA,0.14,0.52,18.06,75.39,0.84,124.95,0.11,10.35,259.82,891.89,NA
2021-01-06 00:00:00,137.08,235.60,75.37,18.09,65.05,2.37,23.16,1.84,18.74,0.05,NA,NA,NA,0.15,0.51,19.16,73.17,0.69,149.80,0.05,5.00,256.03,877.45,NA
2021-01-07 00:00:00,146.36,246.73,52.17,19.50,48.42,2.92,23.19,2.01,18.74,0.06,NA,NA,NA,0.12,0.40,19.29,76.00,0.80,118.26,0.06,6.01,224.85,881.04,NA
2021-01-08 00:00:00,153.37,242.99,48.18,15.85,43.66,2.95,23.86,1.89,18.92,0.06,NA,NA,NA,0.11,0.36,18.90,79.60,0.77,127.96,0.09,8.89,221.53,893.29,NA
2021-01-09 00:00:00,171.56,264.05,54.01,16.39,48.29,2.33,23.82,2.01,19.18,0.06,NA,NA,NA,0.13,0.41,19.05,79.85,0.72,135.61,0.08,7.55,223.88,891.76,NA
2021-01-10 00:00:00,171.06,266.79,45.82,15.55,41.76,2.19,23.46,1.95,19.31,0.06,NA,NA,NA,0.11,0.38,19.66,80.59,0.69,170.39,0.10,9.03,180.87,875.69,NA
2021-01-11 00:00:00,136.74,209.86,10.11,12.11,13.44,1.73,22.71,1.62,19.25,0.06,NA,NA,NA,0.07,0.25,19.55,82.36,0.79,134.98,0.02,2.30,176.98,897.82,NA
2021-01-12 00:00:00,158.67,234.64,14.62,10.27,15.91,1.81,22.79,1.56,19.04,0.05,NA,NA,NA,0.04,0.18,18.11,86.83,0.77,140.53,0.11,10.32,133.94,876.40,NA
