Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,133.61,190.55,15.84,15.16,33.74,13.16,27.07,1.41,3.60,0.36,NA,NA,NA,NA,0.06,NA,NA,1.02,109.01,NA,0.00,114.12,NA,NA
2021-01-02 00:00:00,126.55,179.66,23.52,16.16,44.66,17.41,26.52,1.27,2.78,0.31,NA,NA,NA,NA,0.09,NA,NA,0.80,119.46,NA,0.00,122.24,NA,NA
2021-01-03 00:00:00,115.19,169.99,26.21,15.90,47.97,18.72,26.78,1.18,2.72,0.28,NA,NA,NA,NA,0.07,NA,NA,0.93,104.90,NA,0.00,117.57,NA,NA
2021-01-04 00:00:00,111.08,170.38,25.61,17.62,48.66,19.04,28.13,1.14,3.48,0.28,NA,NA,NA,NA,0.07,NA,NA,0.97,100.68,NA,0.00,119.76,NA,NA
2021-01-05 00:00:00,119.32,179.07,21.25,18.61,43.78,16.96,28.47,1.22,2.89,0.28,NA,NA,NA,NA,0.09,NA,NA,0.88,125.04,NA,0.00,119.59,NA,NA
2021-01-06 00:00:00,135.82,198.61,28.93,18.67,53.90,20.93,27.54,1.40,1.75,0.32,NA,NA,NA,NA,0.12,NA,NA,0.64,121.48,NA,0.00,0.75,NA,NA
2021-01-07 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-08 00:00:00,195.25,308.32,65.24,42.03,121.50,47.75,33.79,2.71,3.28,0.54,NA,NA,NA,NA,0.26,NA,NA,0.80,141.83,NA,0.00,19.44,NA,NA
2021-01-09 00:00:00,147.62,217.72,27.16,23.54,55.75,21.86,32.19,1.53,3.43,0.34,NA,NA,NA,NA,0.12,NA,NA,0.75,160.44,NA,0.00,108.18,NA,NA
2021-01-10 00:00:00,165.44,256.69,32.07,25.00,63.43,24.97,30.95,1.52,2.10,0.32,NA,NA,NA,NA,0.12,NA,NA,0.69,191.09,NA,0.00,96.02,NA,NA
2021-01-11 00:00:00,129.80,198.66,4.92,18.94,22.66,8.98,31.09,0.87,3.71,0.19,NA,NA,NA,NA,0.07,NA,NA,0.88,133.46,NA,0.00,73.93,NA,NA
2021-01-12 00:00:00,99.43,134.92,3.17,11.13,13.68,5.40,29.77,0.65,2.90,0.14,NA,NA,NA,NA,0.04,NA,NA,0.76,118.59,NA,0.00,64.68,NA,NA
2021-01-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-15 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-17 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-18 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-20 00:00:00,49.59,65.96,1.66,13.50,13.73,5.48,26.45,0.57,8.48,0.08,NA,NA,NA,NA,0.03,NA,NA,1.32,80.31,NA,0.00,86.06,NA,NA
2021-01-21 00:00:00,30.87,41.23,1.42,6.20,7.18,2.79,25.24,0.31,7.06,0.03,NA,NA,NA,NA,NA,NA,NA,1.15,89.19,NA,0.00,41.10,NA,NA
2021-01-22 00:00:00,105.39,171.24,28.98,24.67,59.10,23.18,29.13,1.40,7.17,0.01,NA,NA,NA,NA,0.22,NA,NA,0.91,98.73,NA,0.00,71.50,NA,NA
2021-01-23 00:00:00,123.99,186.04,26.96,22.18,54.32,21.36,28.94,1.37,4.33,0.01,NA,NA,NA,NA,0.21,NA,NA,0.81,131.72,NA,0.00,111.09,NA,NA
2021-01-24 00:00:00,133.52,206.58,21.21,27.44,51.28,20.21,30.60,1.46,5.00,0.01,NA,NA,NA,NA,0.21,NA,NA,0.88,204.27,NA,0.00,144.42,NA,NA
2021-01-25 00:00:00,133.13,208.86,33.47,27.79,67.65,26.67,31.44,1.59,3.27,0.20,NA,NA,NA,NA,0.28,NA,NA,0.85,148.96,NA,0.00,113.17,NA,NA
2021-01-26 00:00:00,119.51,180.59,13.36,21.75,36.13,14.24,31.04,1.11,4.27,0.20,NA,NA,NA,NA,0.09,NA,NA,0.83,201.78,NA,0.00,113.89,NA,NA
2021-01-27 00:00:00,115.63,165.95,1.82,16.83,16.79,6.66,27.93,1.05,7.43,0.18,NA,NA,NA,NA,0.01,NA,NA,1.12,192.04,NA,0.00,99.15,NA,NA
2021-01-28 00:00:00,124.16,194.97,19.94,17.82,41.39,16.72,24.44,1.41,6.46,0.24,NA,NA,NA,NA,0.06,NA,NA,1.07,149.87,NA,0.00,124.24,NA,NA
2021-01-29 00:00:00,125.77,186.93,20.65,23.98,47.60,19.23,24.83,1.20,5.93,0.20,NA,NA,NA,NA,0.06,NA,NA,0.79,166.46,NA,0.00,125.24,NA,NA
2021-01-30 00:00:00,106.87,218.52,4.15,20.36,22.86,9.23,24.39,0.89,6.41,0.14,NA,NA,NA,NA,0.02,NA,NA,1.20,202.21,NA,0.00,123.71,NA,NA
2021-01-31 00:00:00,207.12,277.61,5.09,15.88,20.25,8.26,24.16,1.31,7.80,0.24,NA,NA,NA,NA,0.04,NA,NA,1.10,211.26,NA,0.00,95.50,NA,NA
2021-02-01 00:00:00,158.07,224.95,5.12,20.72,24.43,9.94,25.94,1.21,5.09,0.20,NA,NA,NA,NA,0.08,NA,NA,0.84,214.42,NA,0.00,111.60,NA,NA
2021-02-02 00:00:00,143.40,224.83,27.06,27.84,59.30,23.61,27.89,1.50,3.01,0.07,NA,NA,NA,NA,0.21,NA,NA,1.09,148.13,NA,0.00,121.37,NA,NA
2021-02-03 00:00:00,119.39,198.28,24.83,25.20,54.12,21.47,28.49,1.30,6.61,0.01,NA,NA,NA,NA,0.24,NA,NA,1.05,119.20,NA,0.00,47.94,NA,NA
2021-02-04 00:00:00,111.47,185.73,29.52,21.82,57.38,22.66,28.88,1.25,5.12,0.01,NA,NA,NA,NA,0.23,NA,NA,1.13,116.55,NA,0.00,137.20,NA,NA
2021-02-05 00:00:00,101.42,186.41,29.22,21.30,56.53,22.31,29.14,1.23,3.45,0.01,NA,NA,NA,NA,0.27,NA,NA,1.06,110.44,NA,0.00,144.88,NA,NA
2021-02-06 00:00:00,96.02,174.98,21.65,26.03,50.66,19.98,29.14,1.09,3.07,0.00,NA,NA,NA,NA,0.20,NA,NA,1.01,179.00,NA,0.00,143.77,NA,NA
2021-02-07 00:00:00,90.56,151.07,5.15,17.45,21.68,8.50,29.07,0.78,3.96,0.04,NA,NA,NA,NA,0.09,NA,NA,0.90,150.04,NA,0.00,120.74,NA,NA
2021-02-08 00:00:00,100.47,160.94,16.50,26.25,44.27,17.45,28.63,1.17,4.78,0.09,NA,NA,NA,NA,0.08,NA,NA,1.25,165.60,NA,0.00,143.19,NA,NA
2021-02-09 00:00:00,108.82,195.52,15.49,26.22,43.53,17.12,30.55,1.12,5.68,0.00,NA,NA,NA,NA,0.06,NA,NA,0.97,156.58,NA,0.00,140.96,NA,NA
2021-02-10 00:00:00,115.29,203.42,17.42,25.05,44.27,17.40,30.38,1.22,3.98,0.00,NA,NA,NA,NA,0.07,NA,NA,1.05,121.30,NA,0.00,157.88,NA,NA
2021-02-11 00:00:00,115.89,213.13,23.96,28.55,55.84,22.00,29.83,1.31,5.76,0.00,NA,NA,NA,NA,0.06,NA,NA,1.07,173.87,NA,0.00,145.76,NA,NA
2021-02-12 00:00:00,120.72,210.76,19.34,26.39,47.93,18.86,30.09,1.25,4.21,0.00,NA,NA,NA,NA,NA,NA,NA,0.97,137.71,NA,0.00,147.61,NA,NA
2021-02-13 00:00:00,124.71,232.00,23.39,27.07,53.83,21.19,30.14,1.37,4.32,0.00,NA,NA,NA,NA,NA,NA,NA,0.90,166.55,NA,0.00,153.62,NA,NA
2021-02-14 00:00:00,146.62,246.74,25.17,25.47,54.78,21.58,30.75,1.52,4.58,0.00,NA,NA,NA,NA,NA,NA,NA,0.88,155.70,NA,0.00,137.34,NA,NA
2021-02-15 00:00:00,175.81,281.01,15.81,26.00,42.97,16.97,30.50,1.61,3.76,0.00,NA,NA,NA,NA,NA,NA,NA,0.96,176.37,NA,0.00,113.19,NA,NA
2021-02-16 00:00:00,174.71,294.84,25.31,31.72,60.32,23.96,30.48,1.67,3.33,0.00,NA,NA,NA,NA,NA,NA,NA,0.94,175.35,NA,0.00,119.71,NA,NA
2021-02-17 00:00:00,124.95,209.93,5.75,21.42,25.86,10.41,30.90,0.98,3.34,0.00,NA,NA,NA,NA,NA,NA,NA,1.12,99.05,NA,0.00,120.21,NA,NA
2021-02-18 00:00:00,76.21,185.74,2.70,14.45,15.90,6.43,30.74,0.72,5.01,0.00,NA,NA,NA,NA,NA,NA,NA,1.06,88.30,NA,0.00,155.42,NA,NA
2021-02-19 00:00:00,83.64,174.14,14.17,19.06,34.88,13.94,31.09,0.92,3.11,0.00,NA,NA,NA,NA,NA,NA,NA,0.98,119.73,NA,0.00,120.26,NA,NA
2021-02-20 00:00:00,107.27,195.20,22.64,21.43,48.01,19.15,31.50,1.29,3.71,0.00,NA,NA,NA,NA,NA,NA,NA,0.95,139.77,NA,0.00,155.15,NA,NA
2021-02-21 00:00:00,107.56,189.86,15.98,26.05,43.22,17.27,31.52,1.16,5.34,0.00,NA,NA,NA,NA,0.01,NA,NA,1.11,161.03,NA,0.00,185.70,NA,NA
2021-02-22 00:00:00,119.75,221.84,22.69,27.88,53.56,21.43,31.99,1.44,8.41,0.00,NA,NA,NA,NA,0.03,NA,NA,1.01,161.54,NA,0.00,149.51,NA,NA
2021-02-23 00:00:00,114.56,209.87,24.88,28.13,56.28,22.42,32.27,1.31,15.11,0.00,NA,NA,NA,NA,0.08,NA,NA,0.90,179.02,NA,0.00,181.91,NA,NA
2021-02-24 00:00:00,117.12,223.29,14.14,29.97,44.13,17.66,31.51,1.39,6.23,0.00,NA,NA,NA,NA,0.05,NA,NA,1.14,192.83,NA,0.00,177.74,NA,NA
2021-02-25 00:00:00,150.45,255.38,5.30,26.03,29.20,11.78,31.91,1.28,7.76,0.02,NA,NA,NA,NA,0.03,NA,NA,1.04,175.42,NA,0.00,88.53,NA,NA
2021-02-26 00:00:00,153.50,198.64,1.82,13.03,13.53,5.65,31.25,0.99,2.47,0.00,NA,NA,NA,NA,0.03,NA,NA,0.92,92.01,NA,0.00,49.00,NA,NA
