Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,165.27,220.67,23.19,3.00,27.46,23.30,30.32,1.85,NA,0.00,NA,NA,NA,NA,NA,NA,NA,0.93,125.28,NA,0.00,68.17,NA,NA
2022-01-02 00:00:00,112.10,159.33,19.37,2.48,23.36,19.86,25.22,1.21,0.81,0.00,NA,NA,NA,NA,NA,NA,NA,0.87,118.81,NA,0.00,77.60,NA,NA
2022-01-03 00:00:00,112.88,173.17,23.69,4.26,28.01,24.25,25.40,1.42,24.11,0.00,NA,NA,NA,NA,NA,NA,NA,0.76,150.14,NA,0.00,72.77,NA,NA
2022-01-04 00:00:00,114.07,179.87,27.97,3.24,30.92,27.05,22.38,1.46,NA,0.00,NA,NA,NA,NA,NA,NA,NA,0.96,114.83,NA,0.00,72.84,NA,NA
2022-01-05 00:00:00,98.22,158.40,18.19,3.35,21.89,19.37,18.60,1.20,NA,0.00,NA,NA,NA,NA,NA,NA,NA,0.69,138.75,NA,0.00,73.91,NA,NA
2022-01-06 00:00:00,100.62,160.01,16.09,2.71,19.49,17.29,18.69,1.20,NA,0.00,NA,NA,NA,NA,NA,NA,NA,0.88,115.27,NA,0.00,72.52,NA,NA
2022-01-07 00:00:00,101.70,163.74,22.14,3.49,25.64,22.96,20.18,1.32,NA,0.00,NA,NA,NA,NA,NA,NA,NA,0.80,120.68,NA,0.00,72.05,NA,NA
2022-01-08 00:00:00,105.86,172.84,17.12,2.61,21.08,18.92,19.27,1.16,NA,0.00,NA,NA,NA,NA,NA,NA,NA,0.95,118.27,NA,0.00,74.61,NA,NA
2022-01-09 00:00:00,124.29,188.37,18.75,2.70,22.18,20.02,21.46,1.40,NA,0.00,NA,NA,NA,NA,NA,NA,NA,0.70,126.88,NA,0.00,76.82,NA,NA
2022-01-10 00:00:00,121.06,190.11,20.33,3.04,24.43,22.15,21.93,1.46,5.74,0.00,NA,NA,NA,NA,NA,NA,NA,0.79,152.95,NA,0.00,83.37,NA,NA
2022-01-11 00:00:00,132.88,197.91,13.21,3.41,18.28,16.56,22.02,1.36,2.44,0.00,NA,NA,NA,NA,NA,NA,NA,0.91,119.48,NA,0.00,50.27,NA,NA
2022-01-12 00:00:00,106.58,185.90,8.20,2.32,11.66,10.64,16.71,0.92,3.07,0.00,NA,NA,NA,NA,NA,NA,NA,1.12,118.19,NA,0.00,47.50,NA,NA
2022-01-13 00:00:00,83.93,99.25,8.65,3.07,12.79,11.67,17.04,0.96,2.79,0.00,NA,NA,NA,NA,NA,NA,NA,1.00,136.82,NA,0.00,56.77,NA,NA
2022-01-14 00:00:00,128.77,146.98,7.24,2.92,10.75,9.82,24.41,1.38,4.39,0.00,NA,NA,NA,NA,NA,NA,NA,0.90,107.48,NA,0.00,36.58,NA,NA
